title,marka,model,catalog_number,prices,item_id,group0,group1,group2,group3,group4,group5,parts_number_v2,number,avito_marka,avito_model,SparePartType,TechnicSparePartType,stock_id,orig_day
Ленивец John Deere E210LC,john deere,210G,,,,ходовая часть,ленивец,,,,,,210,hyundai,R 210-3,Подвеска и рулевое управление,Запчасти для гусеничного хода,,2024-02-03
Ленивец sdlg 6150/ sdlg 6210 /sdlg 6250 /sdlg 6255,sdlg,E6150F,,,,ходовая часть,ленивец,,,,,,6150,xcmg,XE150D,Подвеска и рулевое управление,Запчасти для гусеничного хода,,2024-02-03
152-7372 редуктор поворота CAT M318,cat,318,152-7372,,,гидравлический компонент,редуктор,редуктор поворота,!,целиком,,152-7372,318,cat,318,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Вал редуктора хода John Deere E210 /E240,john deere,,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,вал,,,hyundai,R 450LC-3,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Редуктор хода Hyundai R160/R210/R250/R300/R330,hyundai,R160LC-7,,,,гидравлический компонент,редуктор,редуктор хода,!,целиком,,,160,hyundai,R 160LC-7,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Коронки ковша hyundai/doosan/volvo/komatsu,doosan,,,,,рабочее оборудование,ковшевой узел,коронка,,,,,,doosan,Daewoo SOLAR 330V,Для навесного оборудования,,,2024-02-03
Гидроцилиндр ковша sdlg E6210/E6255/E6300/E6400,sdlg,E6210FLC,,,,гидравлический компонент,гидроцилиндр,гидроцилиндр ковша,,целиком,,,6210,xcmg,XE215CLL,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Вал редуктора /гидромотора Hyundai R210/R260/R300,hyundai,R210,,,,гидравлический компонент,гидромотор,!,,запчасти,вал,,210,hyundai,R 210-3,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Пальцы ковша экскаватора Hyundai 210,hyundai,,,,,рабочее оборудование,пальцы и втулки,пальцы,пальцы ковшевой обвязки,!,,,,hyundai,ROBEX 360 LC,Для навесного оборудования,,,2024-02-03
Подшипник редуктора хода John Deere E240/E260,john deere,,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,подшипник,,,hyundai,ROBEX 160 LC,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Пальцы втулки Zoomlion 215E,zoomlion,,,,,рабочее оборудование,пальцы и втулки,!,,,,,,doosan,DX225LCA-SLR,Для навесного оборудования,,,2024-02-03
Редуктор хода sany SY375H,sany,,,,,гидравлический компонент,редуктор,редуктор хода,!,целиком,,,,case,CX40B ZTS,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Зеркало экскаватора Hyundai R260-9S,hyundai,R260LC-9S,,,,комплектующие рамы,зеркало,,,,,,260,hyundai,R 260LC-9S,Кабина,Зеркала,,2024-02-03
Пальцы ковша Doosan DX300LCA,doosan,DX300LC-A,,,,рабочее оборудование,пальцы и втулки,пальцы,пальцы ковшевой обвязки,!,,,300,doosan,DX300LC-3,Для навесного оборудования,,,2024-02-03
Редуктор хода John Deere 210 / 240 / 260 / 330,john deere,,,,,гидравлический компонент,редуктор,редуктор хода,!,целиком,,,,hyundai,R 450-3,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Каток опорный Zoomlion ZE215/ZE210/ZE230/ZE245,zoomlion,,,,,ходовая часть,каток опорный,,,,,,,doosan,Daewoo SOLAR 290LC-V SLR,Подвеска и рулевое управление,Запчасти для гусеничного хода,,2024-02-03
Звено цепи Hyundai/Doosan/Hitachi,doosan,,,,,ходовая часть,звено,,,,,,,doosan,DX42OLC,Подвеска и рулевое управление,Запчасти для гусеничного хода,,2024-02-03
31N5-43000/31N5-43001 гидромотор хода Hyundai R170,hyundai,,31n5-43000,,,гидравлический компонент,гидромотор,гидромотор хода,,целиком,,31n5-43000,,hyundai,R75-7,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Натяжитель гусеницы CAT 312 / 188-0895,cat,312,188-0895,,,ходовая часть,натяжитель,натяжитель в сборе,,,,188-0895,312,cat,312,Подвеска и рулевое управление,Запчасти для гусеничного хода,,2024-02-03
Фильтра sdlg E6210DF,sdlg,E6210FLC,,,,запчасти двигателя,фильтра,!,,,,,6210,xcmg,XE215CLL,Гидравлические и пневмосистемы,Фильтры и фильтроэлементы,,2024-02-03
Проводка двс Volvo EC210/EC240/EC290,volvo,EC210,,,,электрическая система,жгут проводов,проводка двигателя,,,,,210,volvo,EC210,Электроника и свет,Электропроводка,,2024-02-03
Редуктор хода xcmg XE210,xcmg,XE210D,,,,гидравлический компонент,редуктор,редуктор хода,!,целиком,,,210,xcmg,XE210D,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
21N6-42101 21N6-42100 контроллер Hyundai R210-7,hyundai,,21n6-42101,,,электрическая система,контроллер,,,,,21n6-42101,,hyundai,R177-9,Электроника и свет,"Контроллеры, реле и датчики",,2024-02-03
Клапан распределителя JCB220,jcb,JS 220,,,,гидравлический компонент,гидрораспределитель,,,запчасти,главный управляющий клапан,,220,jcb,JS 220,Гидравлические и пневмосистемы,Гидрораспределители,,2024-02-03
Поворотный круг Doosan DX340LCA,doosan,DX340LC-3,,,,комплектующие рамы,круг,,,целиком,,,340,doosan,DX340LC-3,"Рамы, кузова и надстройки",Рамы и лонжероны,,2024-02-03
Гидроцилиндр рукояти NEW Holland E265B,new holland,,,,,гидравлический компонент,гидроцилиндр,гидроцилиндр рукояти,,целиком,,,,doosan,Daewoo SOLAR 300LC-V SLR,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Палец ковш-рукоять sdlg E6300F,sdlg,E6300F,,,,рабочее оборудование,пальцы и втулки,пальцы,пальцы ковшевой обвязки,палец ковш-рукоять,,,6300,xcmg,XE300UF,Для навесного оборудования,,,2024-02-03
Гидромотор поворота Hitachi ZX120,hitachi,ZX120,,,,гидравлический компонент,гидромотор,гидромотор поворота,,целиком,,,120,hitachi,ZX120,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Звено цепи Komatsu PC220-8MO,komatsu,PC220-8,,,,ходовая часть,звено,,,,,,220,komatsu,PC220-8,Подвеска и рулевое управление,Запчасти для гусеничного хода,,2024-02-03
Фильтра Hitachi ZX180-5G,hitachi,ZX180,,,,запчасти двигателя,фильтра,!,,,,,180,hitachi,ZX180W,Гидравлические и пневмосистемы,Фильтры и фильтроэлементы,,2024-02-03
Кулак поворотный левый JCB200W,jcb,JS 200,,,,трансмиссия,кулак,,,,,,200,jcb,JS 200,Трансмиссия,Подшипники и крестовины,,2024-02-03
Кулак поворотный Doosan DX160W / DX190W,doosan,DX160W,,,,трансмиссия,кулак,,,,,,160,doosan,DX160W,Трансмиссия,Подшипники и крестовины,,2024-02-03
Пальцы втулки Doosan Solar 180/210/225/255/340/420,doosan,SOLAR 180W-V,,,,рабочее оборудование,пальцы и втулки,!,,,,,180,doosan,Daewoo SOLAR 180W-V,Для навесного оборудования,,,2024-02-03
Крестовина кардана Doosan Solar 180,doosan,SOLAR 180W-V,,,,!,крестовина,,,,,,180,doosan,Daewoo SOLAR 180W-V,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
31N5-43002 гидромотор хода Hyundai R180W-9S,hyundai,R180W-9S,31n5-43002,,,гидравлический компонент,гидромотор,гидромотор хода,,целиком,,31n5-43002,180,hyundai,R180W-9S,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
AT473208 редуктор поворота John Deere E260,john deere,,at473208,,,гидравлический компонент,редуктор,редуктор поворота,!,целиком,,at473208,,hyundai,R 320LC-7,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
31Q7-40070 / редуктор хода hyundai 260,hyundai,,31q7-40070,,,гидравлический компонент,редуктор,редуктор хода,!,целиком,,31q7-40070,,hyundai,ROBEX 1300WM,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Поворотный круг PC 120-6 203-25-62100,komatsu,PC120-3,203-25-62100,,,комплектующие рамы,круг,,,целиком,,203-25-62100,120,komatsu,PC120-3,"Рамы, кузова и надстройки",Рамы и лонжероны,,2024-02-03
Форсунка экскаватора Volvo EC 210,volvo,EC210,,,,запчасти двигателя,форсунка,,,,,,210,volvo,EC210,Двигатели и комплектующие,Система впуска,,2024-02-03
Рычаг блокировки Hyundai R260-9S,hyundai,R260LC-9S,,,,запчасти двигателя,глушитель,,,,,,260,hyundai,R 260LC-9S,Двигатели и комплектующие,Система выпуска,,2024-02-03
Насос рулевого управления JCB 160W,jcb,JS 160W,,,,гидравлический компонент,насос рулевого управления,,,,,,160,jcb,JS 160W,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Трапеция ковша CAT 320,cat,320,,,,рабочее оборудование,трапеция,,,,,,320,cat,320,Для навесного оборудования,,,2024-02-03
Фильтра Volvo EC200D,volvo,EC200,,,,запчасти двигателя,фильтра,!,,,,,200,volvo,EC200,Гидравлические и пневмосистемы,Фильтры и фильтроэлементы,,2024-02-03
Качающий узел гидромотора хода Komatsu PC210NLC-8,komatsu,PC210,,,,гидравлический компонент,гидромотор,гидромотор хода,,запчасти,группа вращения,,210,komatsu,PC210,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Планетарная передача Hyundai R140LC-7,hyundai,R140W-7,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,шестерня,,140,hyundai,R140W-7,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Гидромотор поворота Hitachi ZX870-5G,hitachi,,,,,гидравлический компонент,гидромотор,гидромотор поворота,,целиком,,,,hitachi,ZAXIS 50U-2,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Поршневая группа John Deere E260,john deere,,,,,гидравлический компонент,гидронасос,гидронасос основной,,запчасти,группа вращения,,,hyundai,ROBEX 200 LC,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Клапан разгрузочный Komatsu WB93S-5EO,komatsu,WB93R,,,,система двигателя,топливная система,клапаны топливные,клапан отсечки топлива,,,,93,komatsu,WB93R,Двигатели и комплектующие,Топливная система,,2024-02-03
31ND-13130 гидромотор поворота Hyundai R800LC-9S,hyundai,R800LC-9,31nd-13130,,,гидравлический компонент,гидромотор,гидромотор поворота,,целиком,,31nd-13130,800,hyundai,R800LC-9,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
31N6-15010 гидронасос Hyundai R200W-7,hyundai,R200W-7,31n6-15010,,,гидравлический компонент,гидронасос,гидронасос основной,,целиком,,31n6-15010,200,hyundai,R200W-7,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Тяги боковые ковша Volvo EC240BLR,volvo,EC240,,,,рабочее оборудование,тяга боковая,,,,,,240,volvo,EC240,Для навесного оборудования,,,2024-02-03
Пальцы втулки Hyundai 210 220 250 260 300 330,hyundai,,,,,рабочее оборудование,пальцы и втулки,!,,,,,,hyundai,ROBEX 210 LC-2,Для навесного оборудования,,,2024-02-03
Пальцы втулки CAT 318/320/325/329/330,cat,318,,,,рабочее оборудование,пальцы и втулки,!,,,,,318,cat,318,Для навесного оборудования,,,2024-02-03
14603650 основной насос Volvo EC220,volvo,EC220DL,14603650,,,гидравлический компонент,гидронасос,гидронасос основной,,целиком,,14603650,220,volvo,EC220DL,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Шестерня коронная Hyundai R140W-7,hyundai,R140W-7,,,,рабочее оборудование,ковшевой узел,коронка,,,,,140,hyundai,R140W-7,Для навесного оборудования,,,2024-02-03
4698624 гидромотор поворота Hitachi ZX870,hitachi,,4698624,,,гидравлический компонент,гидромотор,гидромотор поворота,,целиком,,4698624,,hitachi,ZX300LC-5A,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Палец рукоять-стрелы sdlg E6400FLN,sdlg,E6400F,,,,рабочее оборудование,пальцы и втулки,пальцы,пальцы стрелы,!,,,6400,xcmg,XE400D,Для навесного оборудования,,,2024-02-03
AT512602 гидромотор поворота John Deere 330,john deere,,at512602,,,гидравлический компонент,гидромотор,гидромотор поворота,,целиком,,at512602,,hyundai,ROBEX 360 LC-7A,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Редуктор хода Zoomlion ZE210/ZE215/ZE230/ZE360,zoomlion,ZE210,,,,гидравлический компонент,редуктор,редуктор хода,!,целиком,,,210,doosan,DX210W,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Замок зажигания экскаваторов Doosan Solar,doosan,,,,,электрическая система,замок зажигания,,,,,,,doosan,SOLAR 225NLC-V,Электроника и свет,"Контроллеры, реле и датчики",,2024-02-03
Третья планетарная передача xkaq-00398,hyundai,,xkaq-00398,,,гидравлический компонент,редуктор,!,,запчасти,шестерня,xkaq-00398,,hyundai,ROBEX 210 LC-7A (7),Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Палец Caterpillar 330Стрела - рукоять,cat,330,,,,рабочее оборудование,пальцы и втулки,пальцы,пальцы стрелы,палец стрела-рукоять,,,330,cat,330,Для навесного оборудования,,,2024-02-03
Первая планетарная ступень Hyundai R320LC-7,hyundai,R320LC-7,,,,гидравлический компонент,редуктор,!,,запчасти,шестерня,,320,hyundai,R 320LC-7,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Втулка/муфта шлицевая xkah-00022,hyundai,,xkah-00022,,,!,муфта,,,,,xkah-00022,,hyundai,ROBEX 320 LC-7A,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Запчасти основного насоса Komatsu PC200,komatsu,PC200,,,,гидравлический компонент,гидронасос,гидронасос основной,,запчасти,!,,200,komatsu,PC200,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Насос трансмиссии CAT D7,cat,D7R,,,,гидравлический компонент,гидромотор,!,,целиком,,,7,cat,317LR,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
208-27-00252 редуктор хода Komatsu PC-400,komatsu,PC400-7,208-27-00252,,,гидравлический компонент,редуктор,редуктор хода,!,целиком,,208-27-00252,400,komatsu,PC400-7,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Насос трансмиссии бульдозера Komatsu D65EX12,komatsu,D65E-12,,,,гидравлический компонент,пилотный насос,,,,,,65,komatsu,D65E-12,Гидравлические и пневмосистемы,Пневматика сцепления и тормозов,,2024-02-03
Джойстик гидравлический экскаватора хендай,hyundai,,,,,гидравлический компонент,джойстик,,,целиком,,,,hyundai,R 180LC-7,Гидравлические и пневмосистемы,Пневматика сцепления и тормозов,,2024-02-03
Редуктор поворота башни Doosan Solar 255,doosan,SOLAR 255LC-V,,,,гидравлический компонент,редуктор,редуктор поворота,!,целиком,,,255,doosan,SOLAR 255LC-V,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Шкворня Volvo BL71,volvo,BL71,,,,!,шкворень,,,,,,71,volvo,BL71,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Полуось переднего моста Hyundai R140W-7,hyundai,R140W-7,,,,трансмиссия,мост,передний мост,,,,,140,hyundai,R140W-7,Трансмиссия,"Карданный вал, привод и полуось",,2024-02-03
Насос подкачки дусан 225,doosan,225,,,,система двигателя,топливная система,насос топливный,,целиком,,,225,doosan,DX225LCA,Двигатели и комплектующие,Топливная система,,2024-02-03
Крыльчатка двигателя Volvo EC220,volvo,EC220DL,,,,система двигателя,система подачи воздуха,вентилятор,,запчасти,крыльчатка,,220,volvo,EC220DL,Двигатели и комплектующие,Система впуска,,2024-02-03
Редуктор поворота Hyundai R260 39Q7-12100,hyundai,R260LC-9S,39q7-12100,,,гидравлический компонент,редуктор,редуктор поворота,!,целиком,,39q7-12100,260,hyundai,R 260LC-9S,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
31Q6-10140 поворотный редуктор Hyundai R220-9S,hyundai,R220LC-9S,31q6-10140,,,гидравлический компонент,редуктор,редуктор поворота,!,целиком,,31q6-10140,220,hyundai,R 220LC-9S,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Насос линии управления Hitachi ZX330-3,hitachi,ZX330,,,,гидравлический компонент,пилотный насос,,,,,,330,hitachi,ZX330,Гидравлические и пневмосистемы,Пневматика сцепления и тормозов,,2024-02-03
Гидромотор хода Hyundai R500 34E7-02490,hyundai,R500LC-7,34e7-02490,,,гидравлический компонент,гидромотор,гидромотор хода,,целиком,,34e7-02490,500,hyundai,R 500LC-7,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Насос топливоподкачивающий Hitachi ZX300-5A,hitachi,ZX300-5A,,,,система двигателя,топливная система,насос топливный,,целиком,,,300,hitachi,ZX300-5A,Двигатели и комплектующие,Топливная система,,2024-02-03
Редуктор хода sdlg E6210F,sdlg,E6210FLC,,,,гидравлический компонент,редуктор,редуктор хода,!,целиком,,,6210,xcmg,XE215CLL,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Ремкомплект гидрораспределителя Volvo EC210BLC For,volvo,EC210,,,,гидравлический компонент,гидрораспределитель,,,запчасти,главный управляющий клапан,,210,volvo,EC210,Гидравлические и пневмосистемы,Гидрораспределители,,2024-02-03
Стекло лобовое Komatsu PC220-6 Excel,komatsu,PC220-7,,,,комплектующие рамы,стекло,стекло лобовое кабины,,,,,220,komatsu,PC220-7,Кабина,Окна и стёкла,,2024-02-03
Проводка рамы Hitachi ZX110M,hitachi,ZX110,,,,электрическая система,жгут проводов,проводка кабины,,,,,110,hitachi,ZX110,Электроника и свет,Электропроводка,,2024-02-03
Реле стартера Volvo EC240,volvo,EC240,,,,гидравлический компонент,гидронасос,гидронасос основной,,запчасти,датчик,,240,volvo,EC240,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Проводка кабины Hitachi ZX350LCH-5G,hitachi,,,,,электрическая система,жгут проводов,проводка кабины,,,,,,hitachi,ZAXIS 270,Электроника и свет,Электропроводка,,2024-02-03
Ремкомплект гидрораспределителя ZX330-3,hitachi,ZX330,,,,гидравлический компонент,гидрораспределитель,,,запчасти,главный управляющий клапан,,330,hitachi,ZX330,Гидравлические и пневмосистемы,Гидрораспределители,,2024-02-03
Насос подкачки Hitachi ZX240-3,hitachi,ZX240H,,,,система двигателя,топливная система,насос топливный,,целиком,,,240,hitachi,ZX240H,Двигатели и комплектующие,Топливная система,,2024-02-03
Клапан гидрораспределителя Hyundai R320LC-7,hyundai,R320LC-7,,,,гидравлический компонент,гидрораспределитель,,,запчасти,главный управляющий клапан,,320,hyundai,R 320LC-7,Гидравлические и пневмосистемы,Гидрораспределители,,2024-02-03
Ремкомплект гидроцилиндра ковша Hitachi ZX180-5G,hitachi,ZX180,,,,гидравлический компонент,гидроцилиндр,гидроцилиндр ковша,,запчасти,комплект уплотнений,,180,hitachi,ZX180W,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Глушитель CAT 320 / CAT 322 / CAT 324 / CAT 325,cat,320,,,,запчасти двигателя,глушитель,,,,,,320,cat,320,Двигатели и комплектующие,Система выпуска,,2024-02-03
Генератор Volvo EC240bnlc,volvo,EC240,,,,запчасти двигателя,генератор,,,,,,240,volvo,EC240,Двигатели и комплектующие,Стартеры и генераторы,,2024-02-03
Редуктор хода Doosan SD300,doosan,,,,,гидравлический компонент,редуктор,редуктор хода,!,целиком,,,,doosan,Daewoo DH 50,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Стартер Volvo EC250,volvo,EC250,,,,запчасти двигателя,стартер,,,,,,250,volvo,EC250D,Двигатели и комплектующие,Стартеры и генераторы,,2024-02-03
Механизм натяжения Komatsu PC210NLC-8,komatsu,PC210,,,,ходовая часть,натяжитель,натяжитель в сборе,,,,,210,komatsu,PC210,Подвеска и рулевое управление,Запчасти для гусеничного хода,,2024-02-03
39Q6-41101 бортовой редуктор hyundai R210-9S,hyundai,R210W-9S,39q6-41101,,,гидравлический компонент,редуктор,редуктор хода,!,целиком,,39q6-41101,210,hyundai,R210W-9S,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Фильтра sdlg E6210H,sdlg,E6210FLC,,,,запчасти двигателя,фильтра,!,,,,,6210,xcmg,XE215CLL,Гидравлические и пневмосистемы,Фильтры и фильтроэлементы,,2024-02-03
Фильтра sdlg E6255F,sdlg,E6255F,,,,запчасти двигателя,фильтра,!,,,,,6255,xcmg,XE245F,Гидравлические и пневмосистемы,Фильтры и фильтроэлементы,,2024-02-03
Трапеция в сборе Volvo EC160BLC,volvo,EC160,,,,рабочее оборудование,трапеция,,,,,,160,volvo,EC160,Для навесного оборудования,,,2024-02-03
AT478078 первая ступень редуктора John Deere E300,john deere,,at478078,,,гидравлический компонент,редуктор,!,,запчасти,шестерня,at478078,,hyundai,R35Z9,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Редуктор поворота Volvo EC750DL,volvo,,,,,гидравлический компонент,редуктор,редуктор поворота,!,целиком,,,,volvo,EC210B LC,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Радиатор кондиционера lgce E6650FEH,lgce,,,,,система двигателя,радиатор,радиатор печки,,,,,,case,CX350C,Двигатели и комплектующие,Система охлаждения ДВС,,2024-02-03
Пальцы втулки Hitachi ZX330-3,hitachi,ZX330,,,,рабочее оборудование,пальцы и втулки,!,,,,,330,hitachi,ZX330,Для навесного оборудования,,,2024-02-03
Гидроцилиндр ковша Hitachi ZX200-3,hitachi,EX200-3,,,,гидравлический компонент,гидроцилиндр,гидроцилиндр ковша,,целиком,,,200,hitachi,ZX200-3,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
400914-00219 насос основной Solar 225NLC-V,doosan,SOLAR 225NLC-V,400914-00219,,,гидравлический компонент,гидронасос,гидронасос основной,,целиком,,400914-00219,225,doosan,SOLAR 225NLC-V,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Звезда sdlg/lgce E6210/E6255/E6300/E6400,sdlg,E6210FLC,,,,ходовая часть,звезда,,,,,,6210,xcmg,XE215CLL,Подвеска и рулевое управление,Запчасти для гусеничного хода,,2024-02-03
21N-25-00201 поворотный круг Komatsu PC1250,komatsu,,21n-25-00201,,,комплектующие рамы,круг,,,целиком,,21n-25-00201,,komatsu,PC160-6K,"Рамы, кузова и надстройки",Рамы и лонжероны,,2024-02-03
Палец рукоять-стрелы sdlg E6210FLC,sdlg,E6210FLC,,,,рабочее оборудование,пальцы и втулки,пальцы,пальцы стрелы,!,,,6210,xcmg,XE215CLL,Для навесного оборудования,,,2024-02-03
Бортовая в сборе sany SY500,sany,,,,,гидравлический компонент,редуктор,редуктор хода,редуктор хода в сборе,целиком,,,,case,CX36,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Муфта гидронасоса CAT 318C,cat,318,,,,гидравлический компонент,гидронасос,гидронасос основной,,запчасти,муфта,,318,cat,318,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Муфта гидронасоса CAT 319D LN,cat,319C,,,,гидравлический компонент,гидронасос,гидронасос основной,,запчасти,муфта,,319,cat,319C,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Планетарная передача xkah-00357,hyundai,,xkah-00357,,,трансмиссия,колесный редуктор,,,,,xkah-00357,,hyundai,ROBEX 360 LC-7A,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Гидроцилиндр рукояти дусан S 225 NLC-V,doosan,SOLAR 225NLC-V,,,,гидравлический компонент,гидроцилиндр,гидроцилиндр рукояти,,целиком,,,225,doosan,SOLAR 225NLC-V,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Вал редуктор хода CAT 325,cat,325,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,вал,,325,cat,325,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Мотор отопителя кабины Doosan,doosan,,,,,система двигателя,печка,,,запчасти,мотор печки,,,doosan,DX340LCA,Двигатели и комплектующие,Система кондиционирования и отопления,,2024-02-03
Форсунка Komatsu PC200,komatsu,PC200,,,,запчасти двигателя,форсунка,,,,,,200,komatsu,PC200,Двигатели и комплектующие,Система впуска,,2024-02-03
Гильза двигателя Doosan,doosan,,,,,запчасти двигателя,поршневая группа,гильза,,,,,,doosan,Daewoo SOLAR 170LC-V,Двигатели и комплектующие,"Блоки цилиндров, ГБЦ и картеры",,2024-02-03
Редуктор хода без гидромотора Doosan DX 300 LCA,doosan,DX300LC-A,,,,гидравлический компонент,редуктор,редуктор хода,редуктор хода без мотора,целиком,,,300,doosan,DX300LC-3,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Палец ковша CAT 330,cat,330,,,,рабочее оборудование,пальцы и втулки,пальцы,пальцы ковшевой обвязки,!,,,330,cat,330,Для навесного оборудования,,,2024-02-03
Гидрораспределитель Hyundai R260LC-9S,hyundai,R260LC-9S,,,,гидравлический компонент,гидрораспределитель,,,целиком,,,260,hyundai,R 260LC-9S,Гидравлические и пневмосистемы,Гидрораспределители,,2024-02-03
Планетарная ступень редуктора поворота Volvo EC210,volvo,EC210,,,,гидравлический компонент,редуктор,редуктор поворота,,запчасти,шестерня,,210,volvo,EC210,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Моторчик печки Volvo,volvo,,,,,система двигателя,печка,,,запчасти,мотор печки,,,volvo,EC280LC,Двигатели и комплектующие,Система кондиционирования и отопления,,2024-02-03
Монитор на Hitachi ZX200,hitachi,EX200-3,,,,электрическая система,монитор,,,,,,200,hitachi,ZX200-3,Электроника и свет,"Контроллеры, реле и датчики",,2024-02-03
Поршень двигателя экскаватора Doosan Solar,doosan,,,,,гидравлический компонент,гидронасос,гидронасос основной,,запчасти,поршень,,,doosan,Daewoo SOLAR 225LC-V SLR,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Гидроцилиндр стрелы Hitachi ZX180/ZX200/ZX240/330,hitachi,ZX180,,,,гидравлический компонент,гидроцилиндр,гидроцилиндр стрелы,,целиком,,,180,hitachi,ZX180W,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Топливный насос тнвд экскаватора Hyundai R250 LC-7,hyundai,R250LC-7,,,,система двигателя,топливная система,насос топливный,,целиком,,,250,hyundai,R 250LC-7,Двигатели и комплектующие,Топливная система,,2024-02-03
Запчасти экскаватора Hyundai/Doosan/Volvo,doosan,,,,,запчасти двигателя,!,,,,,,,doosan,Daewoo SOLAR 75,Двигатели и комплектующие,Двигатели в сборе,,2024-02-03
Пальцы втулки JCB,jcb,,,,,рабочее оборудование,пальцы и втулки,!,,,,,,jcb,JS 460,Для навесного оборудования,,,2024-02-03
Радиатор отопителя Volvo,volvo,,,,,система двигателя,радиатор,радиатор печки,,,,,,volvo,BM-Volvo GM614,Двигатели и комплектующие,Система охлаждения ДВС,,2024-02-03
Насос подкачки для экскаваторов Doosan Solar,doosan,,,,,система двигателя,топливная система,насос топливный,,целиком,,,,doosan,S75-V,Двигатели и комплектующие,Топливная система,,2024-02-03
Палец CAT 320 стрела - рукоять,cat,320,,,,рабочее оборудование,пальцы и втулки,пальцы,пальцы стрелы,палец стрела-рукоять,,,320,cat,320,Для навесного оборудования,,,2024-02-03
Фильтра экскаватора Cat,cat,,,,,запчасти двигателя,фильтра,!,,,,,,cat,245,Гидравлические и пневмосистемы,Фильтры и фильтроэлементы,,2024-02-03
