title,marka,model,catalog_number,prices,item_id,group0,group1,group2,group3,group4,group5,parts_number_v2,number,avito_marka,avito_model,SparePartType,TechnicSparePartType,stock_id,orig_day
Гидроцилиндр ковша Hitachi ZX180,hitachi,ZX180,,,,гидравлический компонент,гидроцилиндр,гидроцилиндр ковша,,целиком,,,180,hitachi,ZX180W,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Водяной насос Hyundai R300LC-9S,hyundai,R300LC-9S,,,,запчасти двигателя,насос водяной,,,,,,300,hyundai,R 300LC-9S,Двигатели и комплектующие,Система охлаждения ДВС,,2024-02-03
Редуктор хода Volvo EC240/EC220/EC250/EC300/EC360,volvo,EC240,,,,гидравлический компонент,редуктор,редуктор хода,!,целиком,,,240,volvo,EC240,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Втулки стрелы Doosan Solar 225/255/340/420,doosan,SOLAR 225LL,,,,рабочее оборудование,пальцы и втулки,втулки,втулки стрелы,!,,,225,doosan,SOLAR 225NLC-V,Для навесного оборудования,,,2024-02-03
Фильтр топливный Hitachi ZX180,hitachi,ZX180,,,,запчасти двигателя,фильтра,,,целиком,фильтр топливный,,180,hitachi,ZX180W,Гидравлические и пневмосистемы,Фильтры и фильтроэлементы,,2024-02-03
Ремкомплект гидроцилиндра стрелы Hitachi ZX180,hitachi,ZX180,,,,гидравлический компонент,гидроцилиндр,гидроцилиндр стрелы,,запчасти,комплект уплотнений,,180,hitachi,ZX180W,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Гидроцилиндр рукояти Hyundai R210/R250/R320/R300/R,hyundai,R210,,,,гидравлический компонент,гидроцилиндр,гидроцилиндр рукояти,,целиком,,,210,hyundai,R 210-3,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Фильтра Hitachi ZX180/ZX200/ZX240/ZX330,hitachi,ZX180,,,,запчасти двигателя,фильтра,!,,,,,180,hitachi,ZX180W,Гидравлические и пневмосистемы,Фильтры и фильтроэлементы,,2024-02-03
Поршневая двигателя Doosan Solar 225/255/340/420,doosan,SOLAR 225LL,,,,гидравлический компонент,гидромотор,!,,запчасти,группа вращения,,225,doosan,SOLAR 225NLC-V,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Поршневая двигателя Hitachi ZX180,hitachi,ZX180,,,,гидравлический компонент,гидромотор,!,,запчасти,группа вращения,,180,hitachi,ZX180W,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Термостат Hyundai R300LC-9S,hyundai,R300LC-9S,,,,запчасти двигателя,термостат,,,,,,300,hyundai,R 300LC-9S,Двигатели и комплектующие,Система кондиционирования и отопления,,2024-02-03
Фильтр воздушный Hyundai R300LC-9S,hyundai,R300LC-9S,,,,запчасти двигателя,фильтра,,,целиком,фильтр воздушный,,300,hyundai,R 300LC-9S,Гидравлические и пневмосистемы,Фильтры и фильтроэлементы,,2024-02-03
Клапан гидрораспределителя Hitachi ZX180,hitachi,ZX180,,,,гидравлический компонент,гидрораспределитель,,,запчасти,главный управляющий клапан,,180,hitachi,ZX180W,Гидравлические и пневмосистемы,Гидрораспределители,,2024-02-03
Бортовой редуктор Doosan Solar 225/255/340/420,doosan,SOLAR 225LL,,,,гидравлический компонент,редуктор,редуктор хода,!,целиком,,,225,doosan,SOLAR 225NLC-V,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Генератор Hitachi ZX180,hitachi,ZX180,,,,запчасти двигателя,генератор,,,,,,180,hitachi,ZX180W,Двигатели и комплектующие,Стартеры и генераторы,,2024-02-03
Датчик автодизеля Hyundai R260,hyundai,R260LC-9S,,,,гидравлический компонент,гидронасос,гидронасос основной,,запчасти,датчик,,260,hyundai,R 260LC-9S,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Ремкомплект центрального коллектора Hitachi ZX180,hitachi,ZX180,,,,гидравлический компонент,центральный коллектор,коллектор,,запчасти,комплект уплотнений,,180,hitachi,ZX180W,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Джойстик управления Hitachi ZX180,hitachi,ZX180,,,,гидравлический компонент,джойстик,,,целиком,,,180,hitachi,ZX180W,Гидравлические и пневмосистемы,Пневматика сцепления и тормозов,,2024-02-03
Замок зажигания Doosan Solar 225/255/340/420,doosan,SOLAR 225LL,,,,электрическая система,замок зажигания,,,,,,225,doosan,SOLAR 225NLC-V,Электроника и свет,"Контроллеры, реле и датчики",,2024-02-03
Запчасти редуктора хода Hitachi ZX180,hitachi,ZX180,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,!,,180,hitachi,ZX180W,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Стекло лобовое Hitachi ZX180,hitachi,ZX180,,,,комплектующие рамы,стекло,стекло лобовое кабины,,,,,180,hitachi,ZX180W,Кабина,Окна и стёкла,,2024-02-03
Защита катка Hyundai R300LC-9S,hyundai,R300LC-9S,,,,ходовая часть,направляющая,,,,,,300,hyundai,R 300LC-9S,Подвеска и рулевое управление,Запчасти для гусеничного хода,,2024-02-03
